"Year","State","Tobacco Use","Demographic","Comparing (Focus group)","Cigarette Use Prevalence % (Focus group)","To (Reference group)","Cigarette Use Prevalence % (Reference group)","Disparity Value"
"2013","Arizona","Cigarette Use among Adults","Employment","Homemaker or Student","11.2","Employed or Self","17.3","0.6"
"2013","Arizona","Cigarette Use among Adults","Employment","Homemaker or Student","11.2","Retired","8.8","1.3"
"2011","Alabama","Cigarette Use among Adults","Employment","Employed or Self","24.3","Homemaker or Student","18.4","1.3"
"2011","Alabama","Cigarette Use among Adults","Employment","Employed or Self","24.3","Retired","11.6","2.1"
"2011","Alabama","Cigarette Use among Adults","Employment","Employed or Self","24.3","Unable to work","37.8","0.6"
"2011","Alabama","Cigarette Use among Adults","Employment","Employed or Self","24.3","Unemployed","41.7","0.6"
"2011","Alabama","Cigarette Use among Adults","Employment","Homemaker or Student","18.4","Employed or Self","24.3","0.8"
"2011","Alabama","Cigarette Use among Adults","Employment","Homemaker or Student","18.4","Retired","11.6","1.6"
"2011","Alabama","Cigarette Use among Adults","Employment","Homemaker or Student","18.4","Unable to work","37.8","0.5"
"2011","Alabama","Cigarette Use among Adults","Employment","Homemaker or Student","18.4","Unemployed","41.7","0.4"
"2011","Alabama","Cigarette Use among Adults","Employment","Retired","11.6","Employed or Self","24.3","0.5"
"2011","Alabama","Cigarette Use among Adults","Employment","Retired","11.6","Homemaker or Student","18.4","0.6"
"2011","Alabama","Cigarette Use among Adults","Employment","Retired","11.6","Unable to work","37.8","0.3"
"2011","Alabama","Cigarette Use among Adults","Employment","Retired","11.6","Unemployed","41.7","0.3"
"2011","Alabama","Cigarette Use among Adults","Employment","Unable to work","37.8","Employed or Self","24.3","1.6"
"2011","Alabama","Cigarette Use among Adults","Employment","Unable to work","37.8","Homemaker or Student","18.4","2.1"
"2011","Alabama","Cigarette Use among Adults","Employment","Unable to work","37.8","Retired","11.6","3.3"
"2011","Alabama","Cigarette Use among Adults","Employment","Unable to work","37.8","Unemployed","41.7","0.9"
"2011","Alabama","Cigarette Use among Adults","Employment","Unemployed","41.7","Employed or Self","24.3","1.7"
"2011","Alabama","Cigarette Use among Adults","Employment","Unemployed","41.7","Homemaker or Student","18.4","2.3"
"2011","Alabama","Cigarette Use among Adults","Employment","Unemployed","41.7","Retired","11.6","3.6"
"2011","Alabama","Cigarette Use among Adults","Employment","Unemployed","41.7","Unable to work","37.8","1.1"
"2011","Alaska","Cigarette Use among Adults","Employment","Employed or Self","21.0","Homemaker or Student","12.9","1.6"
"2011","Alaska","Cigarette Use among Adults","Employment","Employed or Self","21.0","Retired","13.1","1.6"
"2011","Alaska","Cigarette Use among Adults","Employment","Employed or Self","21.0","Unable to work","43.8","0.5"
"2011","Alaska","Cigarette Use among Adults","Employment","Employed or Self","21.0","Unemployed","46.4","0.5"
"2011","Alaska","Cigarette Use among Adults","Employment","Homemaker or Student","12.9","Employed or Self","21.0","0.6"
"2011","Alaska","Cigarette Use among Adults","Employment","Homemaker or Student","12.9","Retired","13.1","1.0"
