"Year","State","Tobacco Use","Demographic","Comparing (Focus group)","Cigarette Use Prevalence % (Focus group)","To (Reference group)","Cigarette Use Prevalence % (Reference group)","Disparity Value"
"2011","Alabama","Cigarette Use among Adults","Income","Less than $20,000","35.2","From $20,000-$74,999","23.8","1.5"
"2011","Alabama","Cigarette Use among Adults","Income","Less than $20,000","35.2","$75,000 or above","13.3","2.6"
"2011","Alabama","Cigarette Use among Adults","Income","From $20,000-$74,999","23.8","Less than $20,000","35.2","0.7"
"2011","Alabama","Cigarette Use among Adults","Income","From $20,000-$74,999","23.8","$75,000 or above","13.3","1.8"
"2011","Alabama","Cigarette Use among Adults","Income","$75,000 or above","13.3","Less than $20,000","35.2","0.4"
"2011","Alabama","Cigarette Use among Adults","Income","$75,000 or above","13.3","From $20,000-$74,999","23.8","0.6"
"2011","Alaska","Cigarette Use among Adults","Income","Less than $20,000","43.5","From $20,000-$74,999","23.7","1.8"
"2011","Alaska","Cigarette Use among Adults","Income","Less than $20,000","43.5","$75,000 or above","13.1","3.3"
"2011","Alaska","Cigarette Use among Adults","Income","From $20,000-$74,999","23.7","Less than $20,000","43.5","0.5"
"2011","Alaska","Cigarette Use among Adults","Income","From $20,000-$74,999","23.7","$75,000 or above","13.1","1.8"
"2011","Alaska","Cigarette Use among Adults","Income","$75,000 or above","13.1","Less than $20,000","43.5","0.3"
"2011","Alaska","Cigarette Use among Adults","Income","$75,000 or above","13.1","From $20,000-$74,999","23.7","0.6"
"2011","Arizona","Cigarette Use among Adults","Income","Less than $20,000","29.2","From $20,000-$74,999","20.2","1.4"
"2011","Arizona","Cigarette Use among Adults","Income","Less than $20,000","29.2","$75,000 or above","11.7","2.5"
"2011","Arizona","Cigarette Use among Adults","Income","From $20,000-$74,999","20.2","Less than $20,000","29.2","0.7"
"2011","Arizona","Cigarette Use among Adults","Income","From $20,000-$74,999","20.2","$75,000 or above","11.7","1.7"
"2011","Arizona","Cigarette Use among Adults","Income","$75,000 or above","11.7","Less than $20,000","29.2","0.4"
"2011","Arizona","Cigarette Use among Adults","Income","$75,000 or above","11.7","From $20,000-$74,999","20.2","0.6"
"2011","Arkansas","Cigarette Use among Adults","Income","Less than $20,000","41.9","From $20,000-$74,999","23.7","1.8"
"2011","Arkansas","Cigarette Use among Adults","Income","Less than $20,000","41.9","$75,000 or above","11.7","3.6"
"2011","Arkansas","Cigarette Use among Adults","Income","From $20,000-$74,999","23.7","Less than $20,000","41.9","0.6"
"2011","Arkansas","Cigarette Use among Adults","Income","From $20,000-$74,999","23.7","$75,000 or above","11.7","2.0"
