"Year","State","Tobacco Use","Demographic","Comparing (Focus group)","Cigarette Use Prevalence % (Focus group)","To (Reference group)","Cigarette Use Prevalence % (Reference group)","Disparity Value"
"2011","Alabama","Cigarette Use among Adults","Mental Health","Severe Mental Distress","42.5","Mild Mental Distress","26.0","1.6"
"2011","Alabama","Cigarette Use among Adults","Mental Health","Severe Mental Distress","42.5","No Mental Distress","18.9","2.2"
"2011","Alabama","Cigarette Use among Adults","Mental Health","Mild Mental Distress","26.0","Severe Mental Distress","42.5","0.6"
"2011","Alabama","Cigarette Use among Adults","Mental Health","Mild Mental Distress","26.0","No Mental Distress","18.9","1.4"
"2011","Alabama","Cigarette Use among Adults","Mental Health","No Mental Distress","18.9","Severe Mental Distress","42.5","0.4"
"2011","Alabama","Cigarette Use among Adults","Mental Health","No Mental Distress","18.9","Mild Mental Distress","26.0","0.7"
"2011","Alaska","Cigarette Use among Adults","Mental Health","Severe Mental Distress","34.0","Mild Mental Distress","26.4","1.3"
"2011","Alaska","Cigarette Use among Adults","Mental Health","Severe Mental Distress","34.0","No Mental Distress","19.6","1.7"
"2011","Alaska","Cigarette Use among Adults","Mental Health","Mild Mental Distress","26.4","Severe Mental Distress","34.0","0.8"
"2011","Alaska","Cigarette Use among Adults","Mental Health","Mild Mental Distress","26.4","No Mental Distress","19.6","1.3"
"2011","Alaska","Cigarette Use among Adults","Mental Health","No Mental Distress","19.6","Severe Mental Distress","34.0","0.6"
"2011","Alaska","Cigarette Use among Adults","Mental Health","No Mental Distress","19.6","Mild Mental Distress","26.4","0.7"
"2011","Arizona","Cigarette Use among Adults","Mental Health","Severe Mental Distress","34.0","Mild Mental Distress","21.3","1.6"
"2011","Arizona","Cigarette Use among Adults","Mental Health","Severe Mental Distress","34.0","No Mental Distress","15.4","2.2"
"2011","Arizona","Cigarette Use among Adults","Mental Health","Mild Mental Distress","21.3","Severe Mental Distress","34.0","0.6"
"2011","Arizona","Cigarette Use among Adults","Mental Health","Mild Mental Distress","21.3","No Mental Distress","15.4","1.4"
"2011","Arizona","Cigarette Use among Adults","Mental Health","No Mental Distress","15.4","Severe Mental Distress","34.0","0.5"
"2011","Arizona","Cigarette Use among Adults","Mental Health","No Mental Distress","15.4","Mild Mental Distress","21.3","0.7"
"2011","Arkansas","Cigarette Use among Adults","Mental Health","Severe Mental Distress","47.7","Mild Mental Distress","30.2","1.6"
"2011","Arkansas","Cigarette Use among Adults","Mental Health","Severe Mental Distress","47.7","No Mental Distress","19.2","2.5"
"2011","Arkansas","Cigarette Use among Adults","Mental Health","Mild Mental Distress","30.2","Severe Mental Distress","47.7","0.6"
"2011","Arkansas","Cigarette Use among Adults","Mental Health","Mild Mental Distress","30.2","No Mental Distress","19.2","1.6"
"2011","Arkansas","Cigarette Use among Adults","Mental Health","No Mental Distress","19.2","Severe Mental Distress","47.7","0.4"
"2011","Arkansas","Cigarette Use among Adults","Mental Health","No Mental Distress","19.2","Mild Mental Distress","30.2","0.6"
"2011","California","Cigarette Use among Adults","Mental Health","Severe Mental Distress","25.6","Mild Mental Distress","14.3","1.8"
"2011","California","Cigarette Use among Adults","Mental Health","Severe Mental Distress","25.6","No Mental Distress","11.0","2.3"
"2011","California","Cigarette Use among Adults","Mental Health","Mild Mental Distress","14.3","Severe Mental Distress","25.6","0.6"
"2011","California","Cigarette Use among Adults","Mental Health","Mild Mental Distress","14.3","No Mental Distress","11.0","1.3"
"2011","California","Cigarette Use among Adults","Mental Health","No Mental Distress","11.0","Severe Mental Distress","25.6","0.4"
"2011","California","Cigarette Use among Adults","Mental Health","No Mental Distress","11.0","Mild Mental Distress","14.3","0.8"
"2011","Colorado","Cigarette Use among Adults","Mental Health","Severe Mental Distress","33.6","Mild Mental Distress","19.2","1.8"
"2011","Colorado","Cigarette Use among Adults","Mental Health","Severe Mental Distress","33.6","No Mental Distress","15.1","2.2"
"2011","Colorado","Cigarette Use among Adults","Mental Health","Mild Mental Distress","19.2","Severe Mental Distress","33.6","0.6"
"2011","Colorado","Cigarette Use among Adults","Mental Health","Mild Mental Distress","19.2","No Mental Distress","15.1","1.3"
"2011","Colorado","Cigarette Use among Adults","Mental Health","No Mental Distress","15.1","Severe Mental Distress","33.6","0.4"
"2011","Colorado","Cigarette Use among Adults","Mental Health","No Mental Distress","15.1","Mild Mental Distress","19.2","0.8"
"2011","Connecticut","Cigarette Use among Adults","Mental Health","Severe Mental Distress","31.2","Mild Mental Distress","18.6","1.7"
"2011","Connecticut","Cigarette Use among Adults","Mental Health","Severe Mental Distress","31.2","No Mental Distress","13.9","2.2"
"2011","Connecticut","Cigarette Use among Adults","Mental Health","Mild Mental Distress","18.6","Severe Mental Distress","31.2","0.6"
"2011","Connecticut","Cigarette Use among Adults","Mental Health","Mild Mental Distress","18.6","No Mental Distress","13.9","1.3"
"2011","Connecticut","Cigarette Use among Adults","Mental Health","No Mental Distress","13.9","Severe Mental Distress","31.2","0.4"
"2011","Connecticut","Cigarette Use among Adults","Mental Health","No Mental Distress","13.9","Mild Mental Distress","18.6","0.7"
"2011","Delaware","Cigarette Use among Adults","Mental Health","Severe Mental Distress","42.0","Mild Mental Distress","24.2","1.7"
"2011","Delaware","Cigarette Use among Adults","Mental Health","Severe Mental Distress","42.0","No Mental Distress","17.8","2.4"
"2011","Delaware","Cigarette Use among Adults","Mental Health","Mild Mental Distress","24.2","Severe Mental Distress","42.0","0.6"
"2011","Delaware","Cigarette Use among Adults","Mental Health","Mild Mental Distress","24.2","No Mental Distress","17.8","1.4"
"2011","Delaware","Cigarette Use among Adults","Mental Health","No Mental Distress","17.8","Severe Mental Distress","42.0","0.4"
"2011","Delaware","Cigarette Use among Adults","Mental Health","No Mental Distress","17.8","Mild Mental Distress","24.2","0.7"
"2011","District of Columbia","Cigarette Use among Adults","Mental Health","Severe Mental Distress","45.9","Mild Mental Distress","19.3","2.4"
"2011","District of Columbia","Cigarette Use among Adults","Mental Health","Severe Mental Distress","45.9","No Mental Distress","16.5","2.8"
"2011","District of Columbia","Cigarette Use among Adults","Mental Health","Mild Mental Distress","19.3","Severe Mental Distress","45.9","0.4"
"2011","District of Columbia","Cigarette Use among Adults","Mental Health","Mild Mental Distress","19.3","No Mental Distress","16.5","1.2"
"2011","District of Columbia","Cigarette Use among Adults","Mental Health","No Mental Distress","16.5","Severe Mental Distress","45.9","0.4"
"2011","District of Columbia","Cigarette Use among Adults","Mental Health","No Mental Distress","16.5","Mild Mental Distress","19.3","0.9"
"2011","Florida","Cigarette Use among Adults","Mental Health","Severe Mental Distress","30.7","Mild Mental Distress","22.5","1.4"
"2011","Florida","Cigarette Use among Adults","Mental Health","Severe Mental Distress","30.7","No Mental Distress","15.1","2.0"
"2011","Florida","Cigarette Use among Adults","Mental Health","Mild Mental Distress","22.5","Severe Mental Distress","30.7","0.7"
"2011","Florida","Cigarette Use among Adults","Mental Health","Mild Mental Distress","22.5","No Mental Distress","15.1","1.5"
"2011","Florida","Cigarette Use among Adults","Mental Health","No Mental Distress","15.1","Severe Mental Distress","30.7","0.5"
"2011","Florida","Cigarette Use among Adults","Mental Health","No Mental Distress","15.1","Mild Mental Distress","22.5","0.7"
"2011","Georgia","Cigarette Use among Adults","Mental Health","Severe Mental Distress","33.0","Mild Mental Distress","24.5","1.3"
"2011","Georgia","Cigarette Use among Adults","Mental Health","Severe Mental Distress","33.0","No Mental Distress","17.4","1.9"
"2011","Georgia","Cigarette Use among Adults","Mental Health","Mild Mental Distress","24.5","Severe Mental Distress","33.0","0.7"
"2011","Georgia","Cigarette Use among Adults","Mental Health","Mild Mental Distress","24.5","No Mental Distress","17.4","1.4"
"2011","Georgia","Cigarette Use among Adults","Mental Health","No Mental Distress","17.4","Severe Mental Distress","33.0","0.5"
"2011","Georgia","Cigarette Use among Adults","Mental Health","No Mental Distress","17.4","Mild Mental Distress","24.5","0.7"
"2011","Hawaii","Cigarette Use among Adults","Mental Health","Severe Mental Distress","30.5","Mild Mental Distress","21.5","1.4"
"2011","Hawaii","Cigarette Use among Adults","Mental Health","Severe Mental Distress","30.5","No Mental Distress","13.6","2.2"
"2011","Hawaii","Cigarette Use among Adults","Mental Health","Mild Mental Distress","21.5","Severe Mental Distress","30.5","0.7"
"2011","Hawaii","Cigarette Use among Adults","Mental Health","Mild Mental Distress","21.5","No Mental Distress","13.6","1.6"
"2011","Hawaii","Cigarette Use among Adults","Mental Health","No Mental Distress","13.6","Severe Mental Distress","30.5","0.4"
"2011","Hawaii","Cigarette Use among Adults","Mental Health","No Mental Distress","13.6","Mild Mental Distress","21.5","0.6"
"2011","Idaho","Cigarette Use among Adults","Mental Health","Severe Mental Distress","31.7","Mild Mental Distress","15.6","2.0"
"2011","Idaho","Cigarette Use among Adults","Mental Health","Severe Mental Distress","31.7","No Mental Distress","14.6","2.2"
"2011","Idaho","Cigarette Use among Adults","Mental Health","Mild Mental Distress","15.6","Severe Mental Distress","31.7","0.5"
"2011","Idaho","Cigarette Use among Adults","Mental Health","Mild Mental Distress","15.6","No Mental Distress","14.6","1.1"
"2011","Idaho","Cigarette Use among Adults","Mental Health","No Mental Distress","14.6","Severe Mental Distress","31.7","0.5"
"2011","Idaho","Cigarette Use among Adults","Mental Health","No Mental Distress","14.6","Mild Mental Distress","15.6","0.9"
"2011","Illinois","Cigarette Use among Adults","Mental Health","Severe Mental Distress","38.8","Mild Mental Distress","20.8","1.9"
"2011","Illinois","Cigarette Use among Adults","Mental Health","Severe Mental Distress","38.8","No Mental Distress","17.2","2.3"
"2011","Illinois","Cigarette Use among Adults","Mental Health","Mild Mental Distress","20.8","Severe Mental Distress","38.8","0.5"
"2011","Illinois","Cigarette Use among Adults","Mental Health","Mild Mental Distress","20.8","No Mental Distress","17.2","1.2"
"2011","Illinois","Cigarette Use among Adults","Mental Health","No Mental Distress","17.2","Severe Mental Distress","38.8","0.4"
"2011","Illinois","Cigarette Use among Adults","Mental Health","No Mental Distress","17.2","Mild Mental Distress","20.8","0.8"
"2011","Indiana","Cigarette Use among Adults","Mental Health","Severe Mental Distress","41.4","Mild Mental Distress","26.1","1.6"
"2011","Indiana","Cigarette Use among Adults","Mental Health","Severe Mental Distress","41.4","No Mental Distress","21.5","1.9"
"2011","Indiana","Cigarette Use among Adults","Mental Health","Mild Mental Distress","26.1","Severe Mental Distress","41.4","0.6"
"2011","Indiana","Cigarette Use among Adults","Mental Health","Mild Mental Distress","26.1","No Mental Distress","21.5","1.2"
"2011","Indiana","Cigarette Use among Adults","Mental Health","No Mental Distress","21.5","Severe Mental Distress","41.4","0.5"
"2011","Indiana","Cigarette Use among Adults","Mental Health","No Mental Distress","21.5","Mild Mental Distress","26.1","0.8"
"2011","Iowa","Cigarette Use among Adults","Mental Health","Severe Mental Distress","37.8","Mild Mental Distress","22.4","1.7"
"2011","Iowa","Cigarette Use among Adults","Mental Health","Severe Mental Distress","37.8","No Mental Distress","17.1","2.2"
"2011","Iowa","Cigarette Use among Adults","Mental Health","Mild Mental Distress","22.4","Severe Mental Distress","37.8","0.6"
"2011","Iowa","Cigarette Use among Adults","Mental Health","Mild Mental Distress","22.4","No Mental Distress","17.1","1.3"
"2011","Iowa","Cigarette Use among Adults","Mental Health","No Mental Distress","17.1","Severe Mental Distress","37.8","0.5"
"2011","Iowa","Cigarette Use among Adults","Mental Health","No Mental Distress","17.1","Mild Mental Distress","22.4","0.8"
"2011","Kansas","Cigarette Use among Adults","Mental Health","Severe Mental Distress","42.2","Mild Mental Distress","24.7","1.7"
