"Year","State","Tobacco Use","Demographic","Comparing (Focus group)","Cigarette Use Prevalence % (Focus group)","To (Reference group)","Cigarette Use Prevalence % (Reference group)","Disparity Value"
"2013","Wyoming","Cigarette Use among Adults","Race and Ethnicity","Non-Hispanic White","19.5","Hispanic","25.4","0.8"
"2014","Utah","Cigarette Use among Adults","Race and Ethnicity","Non-Hispanic White","9.3","Hispanic","10.4","0.9"
"2018","Kansas","Cigarette Use among Adults","Race and Ethnicity","Non-Hispanic Black","21.2","Hispanic","17.0","1.2"
"2011","Alabama","Cigarette Use among Adults","Race and Ethnicity","Hispanic","27.4","Non-Hispanic AIAN","51.6","0.5"
"2011","Alabama","Cigarette Use among Adults","Race and Ethnicity","Hispanic","27.4","Non-Hispanic Asian","No Data","Not Applicable"
"2011","Alabama","Cigarette Use among Adults","Race and Ethnicity","Hispanic","27.4","Non-Hispanic Black","20.7","1.3"
"2011","Alabama","Cigarette Use among Adults","Race and Ethnicity","Hispanic","27.4","Non-Hispanic White","24.9","1.1"
"2011","Alabama","Cigarette Use among Adults","Race and Ethnicity","Non-Hispanic AIAN","51.6","Hispanic","27.4","1.9"
"2011","Alabama","Cigarette Use among Adults","Race and Ethnicity","Non-Hispanic AIAN","51.6","Non-Hispanic Asian","No Data","Not Applicable"
"2011","Alabama","Cigarette Use among Adults","Race and Ethnicity","Non-Hispanic AIAN","51.6","Non-Hispanic Black","20.7","2.5"
"2011","Alabama","Cigarette Use among Adults","Race and Ethnicity","Non-Hispanic AIAN","51.6","Non-Hispanic White","24.9","2.1"
"2011","Alabama","Cigarette Use among Adults","Race and Ethnicity","Non-Hispanic Asian","No Data","Hispanic","27.4","Not Applicable"
"2011","Alabama","Cigarette Use among Adults","Race and Ethnicity","Non-Hispanic Asian","No Data","Non-Hispanic AIAN","51.6","Not Applicable"
"2011","Alabama","Cigarette Use among Adults","Race and Ethnicity","Non-Hispanic Asian","No Data","Non-Hispanic Black","20.7","Not Applicable"
"2011","Alabama","Cigarette Use among Adults","Race and Ethnicity","Non-Hispanic Asian","No Data","Non-Hispanic White","24.9","Not Applicable"
