year,state,tobacco_use,demographic,comparing_focus_group,to_reference_group,focus_prevalence_num,reference_prevalence_num,disparity_value_num
2011,Alabama,Cigarette Use among Adults,Mental Health,Severe Mental Distress,Mild Mental Distress,42.5,26.0,1.6
2011,Alabama,Cigarette Use among Adults,Mental Health,Severe Mental Distress,No Mental Distress,42.5,18.9,2.2
2011,Alabama,Cigarette Use among Adults,Mental Health,Mild Mental Distress,Severe Mental Distress,26.0,42.5,0.6
2011,Alabama,Cigarette Use among Adults,Mental Health,Mild Mental Distress,No Mental Distress,26.0,18.9,1.4
2011,Alabama,Cigarette Use among Adults,Mental Health,No Mental Distress,Severe Mental Distress,18.9,42.5,0.4
2011,Alabama,Cigarette Use among Adults,Mental Health,No Mental Distress,Mild Mental Distress,18.9,26.0,0.7
2011,Alaska,Cigarette Use among Adults,Mental Health,Severe Mental Distress,Mild Mental Distress,34.0,26.4,1.3
2011,Alaska,Cigarette Use among Adults,Mental Health,Severe Mental Distress,No Mental Distress,34.0,19.6,1.7
2011,Alaska,Cigarette Use among Adults,Mental Health,Mild Mental Distress,Severe Mental Distress,26.4,34.0,0.8
2011,Alaska,Cigarette Use among Adults,Mental Health,Mild Mental Distress,No Mental Distress,26.4,19.6,1.3
2011,Alaska,Cigarette Use among Adults,Mental Health,No Mental Distress,Severe Mental Distress,19.6,34.0,0.6
2011,Alaska,Cigarette Use among Adults,Mental Health,No Mental Distress,Mild Mental Distress,19.6,26.4,0.7
2011,Arizona,Cigarette Use among Adults,Mental Health,Severe Mental Distress,Mild Mental Distress,34.0,21.3,1.6
2011,Arizona,Cigarette Use among Adults,Mental Health,Severe Mental Distress,No Mental Distress,34.0,15.4,2.2
2011,Arizona,Cigarette Use among Adults,Mental Health,Mild Mental Distress,Severe Mental Distress,21.3,34.0,0.6
2011,Arizona,Cigarette Use among Adults,Mental Health,Mild Mental Distress,No Mental Distress,21.3,15.4,1.4
2011,Arizona,Cigarette Use among Adults,Mental Health,No Mental Distress,Severe Mental Distress,15.4,34.0,0.5
2011,Arizona,Cigarette Use among Adults,Mental Health,No Mental Distress,Mild Mental Distress,15.4,21.3,0.7
2011,Arkansas,Cigarette Use among Adults,Mental Health,Severe Mental Distress,Mild Mental Distress,47.7,30.2,1.6
2011,Arkansas,Cigarette Use among Adults,Mental Health,Severe Mental Distress,No Mental Distress,47.7,19.2,2.5
2011,Arkansas,Cigarette Use among Adults,Mental Health,Mild Mental Distress,Severe Mental Distress,30.2,47.7,0.6
2011,Arkansas,Cigarette Use among Adults,Mental Health,Mild Mental Distress,No Mental Distress,30.2,19.2,1.6
2011,Arkansas,Cigarette Use among Adults,Mental Health,No Mental Distress,Severe Mental Distress,19.2,47.7,0.4
2011,Arkansas,Cigarette Use among Adults,Mental Health,No Mental Distress,Mild Mental Distress,19.2,30.2,0.6
2011,California,Cigarette Use among Adults,Mental Health,Severe Mental Distress,Mild Mental Distress,25.6,14.3,1.8
2011,California,Cigarette Use among Adults,Mental Health,Severe Mental Distress,No Mental Distress,25.6,11.0,2.3
2011,California,Cigarette Use among Adults,Mental Health,Mild Mental Distress,Severe Mental Distress,14.3,25.6,0.6
2011,California,Cigarette Use among Adults,Mental Health,Mild Mental Distress,No Mental Distress,14.3,11.0,1.3
2011,California,Cigarette Use among Adults,Mental Health,No Mental Distress,Severe Mental Distress,11.0,25.6,0.4
2011,California,Cigarette Use among Adults,Mental Health,No Mental Distress,Mild Mental Distress,11.0,14.3,0.8
2011,Colorado,Cigarette Use among Adults,Mental Health,Severe Mental Distress,Mild Mental Distress,33.6,19.2,1.8
2011,Colorado,Cigarette Use among Adults,Mental Health,Severe Mental Distress,No Mental Distress,33.6,15.1,2.2
2011,Colorado,Cigarette Use among Adults,Mental Health,Mild Mental Distress,Severe Mental Distress,19.2,33.6,0.6
2011,Colorado,Cigarette Use among Adults,Mental Health,Mild Mental Distress,No Mental Distress,19.2,15.1,1.3
2011,Colorado,Cigarette Use among Adults,Mental Health,No Mental Distress,Severe Mental Distress,15.1,33.6,0.4
2011,Colorado,Cigarette Use among Adults,Mental Health,No Mental Distress,Mild Mental Distress,15.1,19.2,0.8
2011,Connecticut,Cigarette Use among Adults,Mental Health,Severe Mental Distress,Mild Mental Distress,31.2,18.6,1.7
2011,Connecticut,Cigarette Use among Adults,Mental Health,Severe Mental Distress,No Mental Distress,31.2,13.9,2.2
2011,Connecticut,Cigarette Use among Adults,Mental Health,Mild Mental Distress,Severe Mental Distress,18.6,31.2,0.6
2011,Connecticut,Cigarette Use among Adults,Mental Health,Mild Mental Distress,No Mental Distress,18.6,13.9,1.3
2011,Connecticut,Cigarette Use among Adults,Mental Health,No Mental Distress,Severe Mental Distress,13.9,31.2,0.4
2011,Connecticut,Cigarette Use among Adults,Mental Health,No Mental Distress,Mild Mental Distress,13.9,18.6,0.7
2011,Delaware,Cigarette Use among Adults,Mental Health,Severe Mental Distress,Mild Mental Distress,42.0,24.2,1.7
2011,Delaware,Cigarette Use among Adults,Mental Health,Severe Mental Distress,No Mental Distress,42.0,17.8,2.4
2011,Delaware,Cigarette Use among Adults,Mental Health,Mild Mental Distress,Severe Mental Distress,24.2,42.0,0.6
2011,Delaware,Cigarette Use among Adults,Mental Health,Mild Mental Distress,No Mental Distress,24.2,17.8,1.4
2011,Delaware,Cigarette Use among Adults,Mental Health,No Mental Distress,Severe Mental Distress,17.8,42.0,0.4
2011,Delaware,Cigarette Use among Adults,Mental Health,No Mental Distress,Mild Mental Distress,17.8,24.2,0.7
2011,District of Columbia,Cigarette Use among Adults,Mental Health,Severe Mental Distress,Mild Mental Distress,45.9,19.3,2.4
2011,District of Columbia,Cigarette Use among Adults,Mental Health,Severe Mental Distress,No Mental Distress,45.9,16.5,2.8
2011,District of Columbia,Cigarette Use among Adults,Mental Health,Mild Mental Distress,Severe Mental Distress,19.3,45.9,0.4
2011,District of Columbia,Cigarette Use among Adults,Mental Health,Mild Mental Distress,No Mental Distress,19.3,16.5,1.2
2011,District of Columbia,Cigarette Use among Adults,Mental Health,No Mental Distress,Severe Mental Distress,16.5,45.9,0.4
